Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,13,13,37.2,10.8,23.1,0.47,3.7,11.1,0.333,7.2,12,0.596,0.55,9.8,12.4,0.789,0.8,7.9,8.8,9.2,1.9,0.5,4.2,2.7,35.2,,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,19,19,33.3,10.9,19.9,0.548,2.2,5.2,0.414,8.7,14.7,0.595,0.602,8.7,9.7,0.897,0.5,4.4,4.9,6.6,1.6,0.8,1.7,1.8,32.6,,gilgesh01
3,Tyrese Maxey,25,PHI,PG,17,17,39.9,10.8,22.9,0.47,3.9,9.6,0.409,6.8,13.2,0.516,0.557,6.8,7.7,0.878,0.3,4.1,4.4,7.5,1.6,0.8,2.7,2.4,32.2,,maxeyty01
4,Giannis Antetokounmpo,31,MIL,PF,13,13,31.8,12,19.1,0.629,0.7,1.4,0.5,11.3,17.7,0.639,0.647,6.5,10.2,0.636,3.7,7.2,10.8,6.8,0.9,1.2,3.5,2.6,31.2,,antetgi01
5,Donovan Mitchell,29,CLE,SG,17,17,34,10.2,20.4,0.503,3.9,10.3,0.383,6.3,10.1,0.626,0.6,5.5,6.6,0.832,0.8,3.9,4.8,5.5,1.4,0.4,3.2,2.2,29.9,,mitchdo01
6,Nikola Jokić,30,DEN,C,17,17,34.8,10.8,17.3,0.626,2.1,4.9,0.434,8.7,12.4,0.701,0.687,5.8,6.8,0.853,3.3,9.5,12.8,11.1,1.6,0.8,3.5,3,29.6,,jokicni01
7,Jalen Brunson,29,NYK,PG,15,15,34.1,10.3,21.3,0.481,2.8,7.7,0.365,7.5,13.7,0.546,0.547,5.3,6.2,0.849,0.4,2.9,3.3,6.3,0.7,0.1,2.4,2.5,28.6,,brunsja01
8,Lauri Markkanen,28,UTA,PF,17,17,35.6,9.6,20.4,0.473,3.4,8.9,0.377,6.3,11.5,0.546,0.555,5.9,6.6,0.893,2.3,3.8,6.1,2.2,1,0.5,1.4,1.8,28.5,,markkla01
9,Jaylen Brown,29,BOS,SF,18,18,32.5,10.6,21.4,0.495,1.9,5.7,0.34,8.7,15.7,0.551,0.54,5,6.4,0.776,1.1,4.8,5.8,4.3,0.9,0.4,3.4,3.3,28.2,,brownja02
10,Cade Cunningham,24,DET,PG,15,15,36.3,9.7,21.9,0.445,1.9,6.5,0.299,7.8,15.4,0.506,0.489,6.7,8.1,0.828,1.3,4.8,6.1,9.3,1.3,0.7,3.6,3.7,28.1,,cunnica01
11,Anthony Edwards,24,MIN,SG,14,14,32.9,9.4,19.7,0.475,3.4,8.6,0.392,6,11.1,0.538,0.56,5.9,7.3,0.814,0.9,3.9,4.8,3.6,1.5,0.6,2.6,2,28,,edwaran01
12,Stephen Curry,37,GSW,PG,16,16,31.1,9.1,19.4,0.471,4.7,12,0.391,4.4,7.4,0.602,0.592,4.9,5.4,0.919,0.3,3.4,3.7,4,1.3,0.6,3.1,2.2,27.9,,curryst01
13,James Harden,36,LAC,PG,17,17,35.6,8.1,18,0.451,3.8,10.1,0.378,4.3,7.9,0.545,0.557,7.8,8.6,0.905,0.6,5.1,5.7,8.4,1.1,0.4,3.8,1.9,27.9,,hardeja01
14,Austin Reaves,27,LAL,SG,14,14,36.3,8.6,17.2,0.498,2.4,7.6,0.318,6.1,9.6,0.642,0.568,8.3,9.4,0.879,0.9,4.9,5.7,7,1.4,0.1,3.2,2.5,27.9,,reaveau01
15,Tyler Herro,26,MIA,SG,2,2,31,10.5,16.5,0.636,1.5,3.5,0.429,9,13,0.692,0.682,4,4,1,1,5,6,3.5,2,0.5,1,1,26.5,,herroty01
16,Victor Wembanyama,22,SAS,C,12,12,34.7,9.3,18.4,0.502,1.7,4.8,0.345,7.6,13.6,0.558,0.548,6,7,0.857,2,10.9,12.9,4,1.1,3.6,3.6,3.7,26.2,,wembavi01
17,Devin Booker,29,PHO,SG,19,19,35.7,8.7,19,0.457,1.9,5.8,0.324,6.8,13.2,0.516,0.507,6.7,7.7,0.871,1,3.3,4.3,6.9,0.9,0.4,3.9,2.9,26,,bookede01
18,Deni Avdija,25,POR,SF,19,19,33.9,8.1,16.9,0.478,2.7,6.9,0.389,5.4,10.1,0.539,0.557,6.6,8.3,0.803,1.3,5.2,6.4,5.5,0.5,0.7,3.6,3.3,25.5,,avdijde01
19,De'Aaron Fox,28,SAS,PG,9,9,33.4,8.7,17.3,0.5,2.4,6.4,0.379,6.2,10.9,0.571,0.571,5.2,6.1,0.855,1.1,2.8,3.9,6.3,1.4,0.3,3.2,3,25,,foxde01
20,Kevin Durant,37,HOU,SF,14,14,36.1,8.3,17.1,0.485,1.7,4.7,0.364,6.6,12.4,0.532,0.536,6.3,7.1,0.88,0.4,4.4,4.8,3.3,1,0.6,3,2.7,24.6,,duranke01
21,Norman Powell,32,MIA,SG,15,15,30.4,7.9,16.1,0.494,3,6.8,0.441,4.9,9.3,0.532,0.587,5.6,6.3,0.884,0.3,3.5,3.9,2.3,1.3,0.2,1.9,2.2,24.5,,powelno01
22,Michael Porter Jr.,27,BRK,SF,16,16,32.6,8.7,18,0.483,3.1,8.6,0.362,5.6,9.4,0.593,0.569,3.8,4.5,0.833,1.1,6.3,7.4,3,0.8,0.2,2.1,2.1,24.3,,portemi01
23,Coby White,25,CHI,SG,4,2,31,6.8,15.5,0.435,3.5,9.5,0.368,3.3,6,0.542,0.548,7,8.5,0.824,0,3.3,3.3,6.8,1,0,3.8,2,24,,whiteco01
24,Pascal Siakam,31,IND,PF,17,17,34.9,8.4,17.8,0.472,1.8,5,0.353,6.6,12.8,0.518,0.521,5.4,7.9,0.679,1.5,5.4,6.9,4.6,1.2,0.5,2.5,3.2,23.9,,siakapa01
25,Keyonte George,22,UTA,PG,17,17,34.6,7.4,16.7,0.444,2.2,6.8,0.319,5.2,9.9,0.53,0.509,6.4,7,0.908,0.6,3.5,4.1,7.2,1.1,0.2,3.3,2.3,23.4,,georgke01
26,Julius Randle,31,MIN,PF,18,18,33.4,7.9,15.8,0.498,1.8,5.1,0.352,6.1,10.8,0.567,0.554,5.9,7.2,0.815,1.6,5.9,7.5,5.7,1.2,0.2,2.7,2.6,23.4,,randlju01
27,Jamal Murray,28,DEN,PG,16,16,35.1,8.4,17.7,0.477,2.8,7.1,0.386,5.7,10.6,0.538,0.555,3.6,4,0.891,0.4,4.2,4.6,6.8,1.1,0.3,2.3,1.6,23.2,,murraja01
28,Kawhi Leonard,34,LAC,SF,8,8,31.9,8.1,16.5,0.492,2.3,5.6,0.4,5.9,10.9,0.54,0.561,4.6,4.8,0.974,0.6,4.6,5.3,3.3,2.4,0.5,2.3,1.8,23.1,,leonaka01
29,Bennedict Mathurin,23,IND,SF,7,7,33.1,6.6,14.7,0.447,2.4,6.3,0.386,4.1,8.4,0.492,0.529,7.4,9.1,0.813,1.3,4.9,6.1,2.1,0.6,0.1,2.9,3.4,23,,mathube01
30,Franz Wagner,24,ORL,SF,19,19,34.5,7.6,15.9,0.477,1.6,4.4,0.357,6,11.5,0.523,0.526,6.2,7.5,0.824,1.6,4.7,6.4,3.9,1,0.4,1.8,2.3,22.9,,wagnefr01
31,Karl-Anthony Towns,30,NYK,C,17,17,33.4,7.2,15.9,0.45,1.8,5.6,0.326,5.4,10.4,0.517,0.507,6.2,7,0.891,3.2,9.1,12.3,3.4,0.9,0.8,2.6,3.6,22.4,,townska01
32,Alperen Şengün,23,HOU,C,16,16,36.6,8,16.6,0.483,1.2,2.9,0.404,6.8,13.6,0.5,0.519,4.8,6.6,0.726,3,6.4,9.4,7.1,1.1,0.9,3.4,3.3,22,,sengual01
33,Brandon Ingram,28,TOR,SF,19,19,33.7,8.1,16.6,0.486,1.4,4.5,0.314,6.6,12.1,0.55,0.529,4.3,5.1,0.845,0.6,5.3,5.9,3.7,1.1,0.7,2.9,2.2,21.8,,ingrabr01
34,Shaedon Sharpe,22,POR,SG,15,14,28.1,7.9,18,0.441,1.7,6.7,0.25,6.3,11.3,0.553,0.487,4.3,5.3,0.8,1.3,3.7,5,2.1,1.3,0.3,2.8,2.1,21.8,,sharpsh01
35,Zion Williamson,25,NOP,PF,9,9,30.9,7.3,14.3,0.512,0,0.1,0,7.3,14.2,0.516,0.512,7.1,10.1,0.703,2.4,3,5.4,4,1.8,0.6,3.1,2.3,21.8,,willizi01
36,Paolo Banchero,23,ORL,PF,12,12,32.8,6.8,14.8,0.461,0.9,3.7,0.25,5.9,11.2,0.53,0.492,7.1,9.3,0.766,0.9,7.8,8.7,4.1,0.8,0.9,2.7,2.4,21.7,,banchpa01
37,Miles Bridges,27,CHO,PF,18,18,34.9,7.3,17.3,0.42,2.9,8.4,0.349,4.3,8.9,0.488,0.505,4.2,4.8,0.874,1.1,5.3,6.4,3.6,0.7,0.6,1.6,1.9,21.7,,bridgmi02
38,Jalen Johnson,24,ATL,SF,17,17,33.9,8.2,14.9,0.547,1.3,3.4,0.386,6.9,11.6,0.594,0.591,3.8,4.8,0.802,1.1,8.4,9.5,7,1.6,0.4,3.1,2.1,21.5,,johnsja05
39,Cam Thomas,24,BRK,SG,8,8,28.3,6.6,16.5,0.402,2,5.6,0.356,4.6,10.9,0.425,0.462,6.1,7,0.875,0.4,1,1.4,2.6,0.5,0.1,2,1.9,21.4,,thomaca02
40,Dillon Brooks,30,PHO,SF,13,13,30.9,7.7,17,0.452,2.5,7.7,0.33,5.2,9.3,0.554,0.527,3.4,3.9,0.863,0.8,2.5,3.2,1.7,1.8,0.2,2.2,3.5,21.3,,brookdi01
41,Anthony Davis,32,DAL,PF,5,5,29.8,7.8,15,0.52,0.6,2.2,0.273,7.2,12.8,0.563,0.54,4.6,6.2,0.742,3.4,6.8,10.2,2.2,1.6,1.2,2.2,2.6,20.8,,davisan02
42,Josh Giddey,23,CHI,PG,15,15,34.1,7.1,15.3,0.463,1.7,4.5,0.388,5.3,10.8,0.494,0.52,4.6,6.1,0.758,1.5,8.3,9.9,9.5,1,0.5,3.6,2.1,20.5,,giddejo01
43,LaMelo Ball,24,CHO,PG,11,11,30.4,6.9,17.9,0.386,2.5,8.9,0.286,4.4,9,0.485,0.457,3.9,4.5,0.878,1.4,5.2,6.5,8.8,1.3,0.1,3.6,3.5,20.3,,ballla01
44,Zach LaVine,30,SAC,SG,17,17,33.4,7.2,14.6,0.49,2.6,7.1,0.375,4.5,7.6,0.597,0.58,3.1,3.4,0.897,0.2,3,3.2,2.2,0.7,0.1,2.4,2.3,20.1,,lavinza01
45,Jimmy Butler,36,GSW,SF,18,18,31.3,6.2,11.6,0.531,0.9,2.1,0.459,5.2,9.6,0.547,0.572,6.7,7.7,0.871,2.2,3.4,5.6,4.9,1.7,0.3,1.4,1.3,20,,butleji01
46,Jalen Duren,22,DET,C,16,16,29,7.1,10.9,0.655,0,0,,7.1,10.9,0.655,0.655,5.5,7.3,0.752,4.4,7.4,11.8,2,0.9,0.9,2.4,3.3,19.8,,durenja01
47,Joel Embiid,31,PHI,C,6,6,23.3,6.7,14.5,0.46,1.5,4.7,0.321,5.2,9.8,0.525,0.511,4.8,5.8,0.829,1.5,4,5.5,3.3,0.8,1.5,2.7,2.2,19.7,,embiijo01
48,Trey Murphy III,25,NOP,SF,19,19,35.5,6.7,14.5,0.46,2.9,7.9,0.371,3.7,6.6,0.568,0.562,3.4,3.7,0.929,1.3,4.8,6.2,3.2,1.7,0.2,2.2,2.3,19.7,,murphtr02
